Q1,Q2,A1,Q3,Q4,Midterm,Q5,A2,Q6,Q7,Q8,Final,Total
2.275,1.8214285714285714,2.0,1.05,1.8375,23.63,1.2541666666666667,2.0,1.55859375,0.9296875,2.0343750000000003,31.0,72.0
2.275,1.3125,2.0,1.9249999999999998,1.05,20.13,1.4875,2.0,1.640625,0.984375,1.44375,31.67,68.0
2.45,1.0714285714285714,2.0,1.75,1.75,25.81,1.3125,2.0,0.0,0.0,1.4765625,24.0,64.0
2.3625000000000003,1.875,2.0,1.6187500000000001,0.525,22.75,2.0416666666666665,2.0,1.39453125,0.65625,1.70625,24.33,64.0
2.40625,1.6875000000000002,2.0,2.05625,0.875,29.75,1.1666666666666665,2.0,1.271484375,0.765625,1.509375,31.67,78.0
2.1,1.4464285714285712,2.0,2.14375,0.35,24.94,1.7208333333333334,2.0,1.681640625,0.0,2.1,29.33,70.0
1.9249999999999998,1.6339285714285714,2.0,2.275,1.1375,18.38,1.9541666666666666,2.0,1.599609375,0.65625,2.296875,29.33,66.0
1.9249999999999998,1.7410714285714284,2.0,2.0125,1.05,29.75,1.8958333333333333,2.0,0.0,0.0,1.640625,28.33,73.0
2.45,1.2589285714285714,2.0,1.1375,0.7,16.19,0.0,2.0,1.3125,0.0,1.509375,28.0,56.99999999999999
2.275,1.1517857142857142,2.0,2.3625000000000003,0.525,24.94,1.4,1.8,0.0,0.546875,2.0343750000000003,18.33,57.99999999999999
2.45,1.955357142857143,2.0,2.5375,1.8375,24.94,1.6333333333333333,2.0,1.88671875,1.0390625,1.771875,32.0,77.0
2.1875,1.7678571428571428,2.0,2.5375,0.0,19.25,1.225,1.9,1.88671875,0.0,2.0343750000000003,31.0,66.0
2.45,1.9017857142857144,2.0,2.5375,0.7875,29.31,1.6916666666666669,2.0,1.55859375,1.203125,1.8375,32.67,80.0
2.3625000000000003,1.3125,2.0,2.1875,0.875,27.13,1.8666666666666667,2.0,1.55859375,1.09375,1.509375,29.67,74.0
2.45,1.1517857142857142,2.0,1.44375,0.7,22.31,1.75,2.0,1.3125,1.09375,2.0343750000000003,33.33,72.0
0.0,1.2857142857142856,2.0,1.6624999999999999,1.4,20.56,1.7208333333333334,1.8,1.640625,0.65625,2.428125,24.67,60.0
2.1875,1.3660714285714286,0.0,0.0,1.225,20.13,1.8666666666666667,2.0,1.1484375,0.65625,1.3125,28.67,61.0
2.3625000000000003,1.4464285714285712,2.0,1.6187500000000001,0.4375,26.25,2.0416666666666665,2.0,1.681640625,0.984375,1.903125,31.67,75.0
1.8375,1.0178571428571428,2.0,0.0,0.0,12.25,0.9916666666666667,1.9,0.0,0.65625,0.0,14.33,35.0
2.45,1.7142857142857142,2.0,2.31875,1.225,19.25,1.225,1.8,1.23046875,0.0,2.296875,30.33,66.0
2.1875,1.4196428571428572,2.0,2.3625000000000003,1.225,30.19,1.9833333333333334,1.9,1.640625,0.0,2.1,33.33,81.0
2.31875,1.2589285714285714,0.0,2.1,0.9624999999999999,23.19,1.1666666666666665,2.0,0.90234375,0.9296875,1.575,33.0,70.0
2.1875,1.5,2.0,2.45,0.7,27.13,1.75,1.8,1.72265625,0.875,1.903125,33.33,78.0
2.1875,1.2857142857142856,2.0,1.6624999999999999,0.7,20.56,0.7,0.0,0.8203125,1.203125,2.2312499999999997,26.33,60.0
2.05625,1.9285714285714286,2.0,2.275,1.225,25.38,1.8666666666666667,2.0,1.1484375,0.984375,2.0015625,32.67,76.0
