Student ID,Avg Absolute Error,Min Absolute Error,Max Absolute Error
S1,2.18111253094618,0.061804093539748806,4.683575013488934
S2,0.23012643299537197,0.0,1.3807585979722319
S3,0.23012643299537197,0.0,1.3807585979722319
S4,2.119194515799103,0.18722965225785515,4.06980126036391
S5,4.410268320442673,1.4940187100582278,5.812377044428857
S6,4.415578310704479,2.9344536037116455,9.164713783109896
S7,4.417567138994642,3.4802576111859906,5.125218798752755
S8,7.978406696751573,4.726959263334159,9.97403756988163
S9,1.9160478919687887,0.2463367360462172,4.525643418081778
S10,1.3630525570362078,0.15778412457282798,2.2000150023699234
S11,2.667760622139616,0.05541594136098382,9.272949574860831
S12,2.516913623839836,0.16700230718822695,4.4536630881344905
S13,4.003726639324264,0.18166387705147002,6.789062818673244
S14,9.305409328140357,8.016507029101845,10.351850585081628
S15,2.6934022965740154,1.3237201890219765,4.367644392768447
S16,6.672539781555739,5.254777041857878,8.059805598397801
S17,6.08741498737584,4.6696335246446665,8.261808821296327
S18,6.038768458638569,5.185072225161221,7.541049206945104
S19,3.669476538912773,1.2101409626881718,5.251740711029932
S20,2.7442913846330526,0.6137650759528199,5.616587065395038
S21,4.286068633007257,2.3170475735333724,6.1455923105931305
S22,2.9105344964577013,0.7152214187301524,6.628769979649675
S23,6.232157322805126,0.9047619503579014,10.477528316527085
S24,3.0279069272647896,0.0223879259468589,4.976457052925099
S25,3.76531870529548,0.09696524196152723,8.073238076556109
S26,0.8831637784476278,0.09265192117802457,1.7169052405099308
S27,4.788110467302598,0.9546870185003513,7.123049076518825
S28,9.30117892976684,7.526827515591833,11.192565541243027
S29,2.346537971575311,0.27628988167827373,5.21726895772823
S30,2.306483800983101,0.8352368026312291,3.8750823562432757
S31,6.39766370421063,4.537070454595394,9.831297602209482
S32,2.12361835942153,0.8239866981457027,3.115246844487757
S33,0.7958942763564103,0.3690033355779434,1.299024667198175
S34,1.4404480438910632,0.4362581647471302,3.792566701593252
S35,5.312357154883835,0.2138888628087372,7.023843806289236
S36,1.4906493498290487,0.15940773490758886,2.8886074354993525
S37,2.1958425852955252,0.037117156702123566,5.042711797226104
S38,5.6858694706147075,3.920967752575663,8.007906851491825
S39,2.658840045346782,0.2838612270243601,4.619291213260659
